n   | Best Alpha | S1 (Mass)      | S2 (Hits)      | Ratio S2/S1    | S2 < S1? (nconv=2)
81  | 0.560      | 1.61567181e+11 | 7.54971684e+10 | 0.4673         | True
82  | 0.900      | 1.77386141e+14 | 1.73894803e+14 | 0.9803         | True
83  | 0.800      | 1.17890830e+13 | 4.48558595e+12 | 0.3805         | True
84  | 0.460      | 8.35643441e+09 | 1.09557322e+10 | 1.3111         | False
85  | 0.110      | 55644.9935     | 90374.6401     | 1.6241         | False
86  | 0.720      | 7.04983235e+12 | 2.79820790e+12 | 0.3969         | True
87  | 0.480      | 2.21169258e+10 | 2.27799420e+10 | 1.0300         | False
88  | 0.940      | 1.02152471e+14 | 8.18607683e+13 | 0.8014         | True
89  | 0.410      | 7.55441089e+09 | 9.53282214e+09 | 1.2619         | False
90  | 0.490      | 3.04104290e+10 | 3.39266204e+10 | 1.1156         | False
91  | 0.610      | 2.64354299e+11 | 2.61309480e+11 | 0.9885         | True
92  | 0.200      | 5641390.7809   | 6224426.2465   | 1.1033         | False
93  | 0.650      | 6.29171324e+11 | 5.88577695e+11 | 0.9355         | True
